page_id,page_type,chosen_method,adaptive_ratio,adaptive_time,lz4_ratio,lz4_time,zstd_ratio,zstd_time
146,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
147,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
148,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
149,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
150,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
151,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,5e-06
152,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,5e-06
153,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,5e-06
154,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
155,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
156,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
157,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
158,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
159,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
160,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
161,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
162,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
163,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
164,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
165,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
166,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
167,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
168,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
169,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
170,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
171,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
172,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
173,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
174,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,4e-06
175,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
176,random,lz4,0.9944,3e-06,0.9944,1e-06,0.9976,4e-06
177,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
178,random,lz4,0.9944,1e-06,0.9944,2e-06,0.9976,4e-06
179,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
180,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
181,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
182,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
183,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
184,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
185,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
186,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
187,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
188,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
189,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
190,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
191,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
192,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
193,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
194,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
195,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
196,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
197,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
198,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
199,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
200,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
201,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
202,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
203,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
204,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
205,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
206,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
207,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
208,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
209,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
210,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
211,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
212,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
213,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
214,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
215,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
216,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
217,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
218,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
219,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
220,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
